time,r,r_dot,theta,theta_dot,is_private
1.970000028610229492e+00,1.053281188011169434e+00,1.693701720796525478e-03,1.238852119445800781e+01,6.283186912536621094e+00,1.000000000000000000e+00
1.980000019073486328e+00,1.053295254707336426e+00,1.103303278796374798e-03,1.245135307312011719e+01,6.283195972442626953e+00,1.000000000000000000e+00
1.990000009536743164e+00,1.053303122520446777e+00,5.009713931940495968e-04,1.251418495178222656e+01,6.283200740814208984e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.053305149078369141e+00,-1.068043566192500293e-04,1.257701587677001953e+01,6.283202171325683594e+00,0.000000000000000000e+00
2.009999990463256836e+00,1.053301215171813965e+00,-7.135182968340814114e-04,1.263984775543212891e+01,6.283199787139892578e+00,0.000000000000000000e+00
2.019999980926513672e+00,1.053290963172912598e+00,-1.312651904299855232e-03,1.270267963409423828e+01,6.283192634582519531e+00,0.000000000000000000e+00
2.029999971389770508e+00,1.053274989128112793e+00,-1.897671842016279697e-03,1.276551151275634766e+01,6.283182621002197266e+00,0.000000000000000000e+00
2.039999961853027344e+00,1.053253173828125000e+00,-2.462028991430997849e-03,1.282834243774414062e+01,6.283170700073242188e+00,0.000000000000000000e+00
2.049999952316284180e+00,1.053225755691528320e+00,-2.999433316290378571e-03,1.289117622375488281e+01,6.283164024353027344e+00,0.000000000000000000e+00
2.059999942779541016e+00,1.053193211555480957e+00,-3.504472319036722183e-03,1.295400714874267578e+01,6.283154487609863281e+00,0.000000000000000000e+00
2.069999933242797852e+00,1.053155541419982910e+00,-3.971769008785486221e-03,1.301683902740478516e+01,6.283149242401123047e+00,0.000000000000000000e+00
2.079999923706054688e+00,1.053113579750061035e+00,-4.396568052470684052e-03,1.307966804504394531e+01,6.283148765563964844e+00,0.000000000000000000e+00
2.089999914169311523e+00,1.053067922592163086e+00,-4.774780943989753723e-03,1.314249801635742188e+01,6.283156871795654297e+00,0.000000000000000000e+00
2.099999904632568359e+00,1.053018331527709961e+00,-5.102989729493856430e-03,1.320532798767089844e+01,6.283175945281982422e+00,0.000000000000000000e+00
2.110000133514404297e+00,1.052965641021728516e+00,-5.378451664000749588e-03,1.326815891265869141e+01,6.283208370208740234e+00,0.000000000000000000e+00
2.120000123977661133e+00,1.052910685539245605e+00,-5.599074065685272217e-03,1.333098793029785156e+01,6.283257484436035156e+00,0.000000000000000000e+00
2.130000114440917969e+00,1.052853703498840332e+00,-5.763451568782329559e-03,1.339381599426269531e+01,6.283327579498291016e+00,0.000000000000000000e+00
2.140000104904174805e+00,1.052796125411987305e+00,-5.870892200618982315e-03,1.345666599273681641e+01,6.283420085906982422e+00,0.000000000000000000e+00
2.150000095367431641e+00,1.052736997604370117e+00,-5.921671167016029358e-03,1.351949977874755859e+01,6.283536911010742188e+00,0.000000000000000000e+00
2.160000085830688477e+00,1.052677869796752930e+00,-5.916830152273178101e-03,1.358233737945556641e+01,6.283681392669677734e+00,0.000000000000000000e+00
2.170000076293945312e+00,1.052618980407714844e+00,-5.858019925653934479e-03,1.364517402648925781e+01,6.283856391906738281e+00,0.000000000000000000e+00
2.180000066757202148e+00,1.052560925483703613e+00,-5.747509654611349106e-03,1.370801544189453125e+01,6.284064292907714844e+00,0.000000000000000000e+00
2.190000057220458984e+00,1.052504420280456543e+00,-5.588182713836431503e-03,1.377085876464843750e+01,6.284306049346923828e+00,0.000000000000000000e+00
2.200000047683715820e+00,1.052449703216552734e+00,-5.383539479225873947e-03,1.383370685577392578e+01,6.284583091735839844e+00,0.000000000000000000e+00
2.210000038146972656e+00,1.052397489547729492e+00,-5.137694068253040314e-03,1.389655780792236328e+01,6.284897327423095703e+00,0.000000000000000000e+00
2.220000028610229492e+00,1.052347898483276367e+00,-4.855377133935689926e-03,1.395941543579101562e+01,6.285246849060058594e+00,0.000000000000000000e+00
2.230000019073486328e+00,1.052299618721008301e+00,-4.541915841400623322e-03,1.402225208282470703e+01,6.285632133483886719e+00,0.000000000000000000e+00
